Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/Jaguar/Jaguar CD Manuals/!System Manual (Atari Jaguar CD).pdf,https://archive.org/download/mister-manuals/1995_Atari%20Jaguar%20CD.zip/1995_Atari%20Jaguar%20CD%2F%21System%20Manual%20%28Atari%20Jaguar%20CD%29.pdf,1781616,e69b1ef4a9ae0b74127db43a312ee13f,,,!System Manual (Atari Jaguar CD).pdf
docs/Jaguar/Jaguar CD Manuals/Baldies.pdf,https://archive.org/download/mister-manuals/1995_Atari%20Jaguar%20CD.zip/1995_Atari%20Jaguar%20CD%2FBaldies.pdf,1475450,e44059cb0e82952c7c6bf771ff103fa0,,,Baldies.pdf
docs/Jaguar/Jaguar CD Manuals/Battlemorph.pdf,https://archive.org/download/mister-manuals/1995_Atari%20Jaguar%20CD.zip/1995_Atari%20Jaguar%20CD%2FBattlemorph.pdf,2413351,15e72622f64c4b96be438a2a009025f4,,,Battlemorph.pdf
docs/Jaguar/Jaguar CD Manuals/Blue Lightning.pdf,https://archive.org/download/mister-manuals/1995_Atari%20Jaguar%20CD.zip/1995_Atari%20Jaguar%20CD%2FBlue%20Lightning.pdf,1477809,3dbc9e48fde4fa7eac0f52533f5f7ec5,,,Blue Lightning.pdf
docs/Jaguar/Jaguar CD Manuals/Brain Dead 13.pdf,https://archive.org/download/mister-manuals/1995_Atari%20Jaguar%20CD.zip/1995_Atari%20Jaguar%20CD%2FBrain%20Dead%2013.pdf,831879,bb5becd7b65096b684f4babb9252cfdf,,,Brain Dead 13.pdf
docs/Jaguar/Jaguar CD Manuals/Dragon's Lair.pdf,https://archive.org/download/mister-manuals/1995_Atari%20Jaguar%20CD.zip/1995_Atari%20Jaguar%20CD%2FDragon%27s%20Lair.pdf,1446636,91aeab9fa9a823e1b3e979772568ab7d,,,Dragon's Lair.pdf
docs/Jaguar/Jaguar CD Manuals/Highlander - The Last of the MacLeods.pdf,https://archive.org/download/mister-manuals/1995_Atari%20Jaguar%20CD.zip/1995_Atari%20Jaguar%20CD%2FHighlander%20-%20The%20Last%20of%20the%20MacLeods.pdf,1073344,6ffc1bed01a64fcbea96f696665c6aa9,,,Highlander - The Last of the MacLeods.pdf
docs/Jaguar/Jaguar CD Manuals/Hover Strike - Unconquered Lands.pdf,https://archive.org/download/mister-manuals/1995_Atari%20Jaguar%20CD.zip/1995_Atari%20Jaguar%20CD%2FHover%20Strike%20-%20Unconquered%20Lands.pdf,2417788,308a7766c165cdf2c49e5d11dd33224e,,,Hover Strike - Unconquered Lands.pdf
docs/Jaguar/Jaguar CD Manuals/Iron Soldier 2.pdf,https://archive.org/download/mister-manuals/1995_Atari%20Jaguar%20CD.zip/1995_Atari%20Jaguar%20CD%2FIron%20Soldier%202.pdf,1097052,7c1c91b868c4ef77ad487544f3afb248,,,Iron Soldier 2.pdf
docs/Jaguar/Jaguar CD Manuals/Myst.pdf,https://archive.org/download/mister-manuals/1995_Atari%20Jaguar%20CD.zip/1995_Atari%20Jaguar%20CD%2FMyst.pdf,1218374,956b2d7f033f9e1316492fe1f6c614db,,,Myst.pdf
docs/Jaguar/Jaguar CD Manuals/Primal Rage.pdf,https://archive.org/download/mister-manuals/1995_Atari%20Jaguar%20CD.zip/1995_Atari%20Jaguar%20CD%2FPrimal%20Rage.pdf,2397092,52077b4d01f1cb8cc0d2d311abd03294,,,Primal Rage.pdf
docs/Jaguar/Jaguar CD Manuals/Robinson's Requiem.pdf,https://archive.org/download/mister-manuals/1995_Atari%20Jaguar%20CD.zip/1995_Atari%20Jaguar%20CD%2FRobinson%27s%20Requiem.pdf,3200840,4ead0a761da2768ba12229f72072848a,,,Robinson's Requiem.pdf
docs/Jaguar/Jaguar CD Manuals/Space Ace.pdf,https://archive.org/download/mister-manuals/1995_Atari%20Jaguar%20CD.zip/1995_Atari%20Jaguar%20CD%2FSpace%20Ace.pdf,1626141,650ddd3007f3b346030843ba785dd789,,,Space Ace.pdf
docs/Jaguar/Jaguar CD Manuals/Vid Grid.pdf,https://archive.org/download/mister-manuals/1995_Atari%20Jaguar%20CD.zip/1995_Atari%20Jaguar%20CD%2FVid%20Grid.pdf,849458,1c78d1cb8228e8fadc5869384fb19d79,,,Vid Grid.pdf
docs/Jaguar/Jaguar CD Manuals/World Tour Racing.pdf,https://archive.org/download/mister-manuals/1995_Atari%20Jaguar%20CD.zip/1995_Atari%20Jaguar%20CD%2FWorld%20Tour%20Racing.pdf,961911,db2b8b54d929c982af2349fd2909e784,,,World Tour Racing.pdf
docs/Jaguar/Jaguar CD Manuals/[Booklet] Robinson's Requiem.pdf,https://archive.org/download/mister-manuals/1995_Atari%20Jaguar%20CD.zip/1995_Atari%20Jaguar%20CD%2F%5BBooklet%5D%20Robinson%27s%20Requiem.pdf,535033,04d06b91cd893c9a4457701107584831,,,[Booklet] Robinson's Requiem.pdf
